,faa,qa_faa,qa_name,qa_lat,qa_lon,qa_alt,qa_tz,qa_dst
119,ANN,F,,,,,,
120,ANP,F,,,,,,
121,ANQ,F,,,,,,
122,ANV,F,,,,,,
123,AOH,F,,,,,,
124,AOO,F,,,,,,
125,AOS,F,,,,,,
126,APA,F,,,,,,
127,APC,F,,,,,,
128,APF,F,,,,,,
129,APG,F,,,,,,
130,APN,F,,,,,,
131,AQC,F,,,,,,
132,ARA,F,,,,,,
133,ARB,F,,,,,,
134,ARC,F,,,,,,
135,ART,F,,,,,,
136,ARV,F,,,,,,
137,ASE,F,,,,,,
138,ASH,F,,,,,,
139,AST,F,,,,,,
140,ATK,F,,,,,,
141,ATL,F,,,,,,
142,ATT,F,,,,,,
143,ATW,F,,,,,,
144,ATY,F,,,,,,
145,AUG,F,,,,,,
146,AUK,F,,,,,,
147,AUS,F,,,,,,
148,AUW,F,,,,,,
149,AVL,F,,,,,,
150,AVO,F,,,,,,
151,AVP,F,,,,,,
152,AVW,F,,,,,,
153,AVX,F,,,,,,
154,AZA,F,,,,,,
155,AZO,F,,,,,,
156,BAB,F,,,,,,
157,BAD,F,,,,,,
158,BAF,F,,,,,,
159,BBX,F,,,,,,
160,BCE,F,,,,,,
161,BCT,F,,,,,,
162,BDE,F,,,,,,
163,BDL,F,,,,,,
164,BDR,F,,,,,,
165,BEC,F,,,,,,
166,BED,F,,,,,,
167,BEH,F,,,,,,
168,BET,F,,,,,,
169,BFD,F,,,,,,
170,BFF,F,,,,,,
171,BFI,F,,,,,,
172,BFL,F,,,,,,
173,BFM,F,,,,,,
174,BFP,F,,,,,,
175,BFT,F,,,,,,
176,BFT,F,,,,,,
177,BGE,F,,,,,,
178,BGM,F,,,,,,
179,BGR,F,,,,,,
180,BHB,F,,,,,,
181,BHM,F,,,,,,
182,BID,F,,,,,,
183,BIF,F,,,,,,
184,BIG,F,,,,,,
185,BIL,F,,,,,,
186,BIS,F,,,,,,
187,BIV,F,,,,,,
188,BIX,F,,,,,,
189,BJC,F,,,,,,
190,BJI,F,,,,,,
191,BKC,F,,,,,,
192,BKD,F,,,,,,
193,BKF,F,,,,,,
194,BKG,F,,,,,,
195,BKH,F,,,,,,
196,BKL,F,,,,,,
197,BKW,F,,,,,,
198,BKX,F,,,,,,
199,BLD,F,,,,,,
200,BLF,F,,,,,,
201,BLH,F,,,,,,
202,BLI,F,,,,,,
203,BLV,F,,,,,,
204,BMC,F,,,,,,
205,BMG,F,,,,,,
206,BMI,F,,,,,,
207,BMX,F,,,,,,
208,BNA,F,,,,,,
209,BOI,F,,,,,,
210,BOS,F,,,,,,
211,BOW,F,,,,,,
212,BPT,F,,,,,,
213,BQK,F,,,,,,
214,BRD,F,,,,,,
215,BRL,F,,,,,,
216,BRO,F,,,,,,
217,BRW,F,,,,,,
218,BSF,F,,,,,,
219,BTI,F,,,,,,
220,BTM,F,,,,,,
221,BTR,F,,,,,,
222,BTT,F,,,,,,
223,BTV,F,,,,,,
224,BUF,F,,,,,,
225,BUR,F,,,,,,
226,BUU,F,,,,,,
227,BUY,F,,,,,,
228,BVY,F,,,,,,
229,BWD,F,,,,,,
230,BWG,F,,,,,,
231,BWI,F,,,,,,
232,BXK,F,,,,,,
233,BXS,F,,,,,,
234,BYH,F,,,,,,
235,BYS,F,,,,,,
236,BYW,F,,,,,,
237,BZN,F,,,,,,
238,C02,F,,,,,,
239,C16,F,,,,,,
240,C47,F,,,,,,
241,C65,F,,,,,,
242,C89,F,,,,,,
243,C91,F,,,,,,
244,CAE,F,,,,,,
245,CAK,F,,,,,,
246,CAR,F,,,,,,
247,CBE,F,,,,,,
248,CBM,F,,,,,,
249,CCO,F,,,,,,
250,CCR,F,,,,,,
251,CDB,F,,,,,,
252,CDC,F,,,,,,
253,CDI,F,,,,,,
254,CDK,F,,,,,,
255,CDN,F,,,,,,
256,CDR,F,,,,,,
257,CDS,F,,,,,,
258,CDV,F,,,,,,
259,CDW,F,,,,,,
260,CEC,F,,,,,,
261,CEF,F,,,,,,
262,CEM,F,,,,,,
263,CEU,F,,,,,,
264,CEW,F,,,,,,
265,CEZ,F,,,,,,
266,CFD,F,,,,,,
267,CGA,F,,,,,,
268,CGF,F,,,,,,
269,CGI,F,,,,,,
270,CGX,F,,,,,,
271,CGZ,F,,,,,,
272,CHA,F,,,,,,
273,CHI,F,,,,,,
274,CHO,F,,,,,,
275,CHS,F,,,,,,
276,CHU,F,,,,,,
277,CIC,F,,,,,,
278,CID,F,,,,,,
279,CIK,F,,,,,,
280,CIL,F,,,,,,
281,CIU,F,,,,,,
282,CKB,F,,,,,,
283,CKD,F,,,,,,
284,CKF,F,,,,,,
285,CKV,F,,,,,,
286,CLC,F,,,,,,
287,CLD,F,,,,,,
288,CLE,F,,,,,,
289,CLL,F,,,,,,
290,CLM,F,,,,,,
291,CLT,F,,,,,,
292,CLW,F,,,,,,
293,CMH,F,,,,,,
294,CMI,F,,,,,,
295,CMX,F,,,,,,
296,CNM,F,,,,,,
297,CNW,F,,,,,,
298,CNY,F,,,,,,
299,COD,F,,,,,,
300,COF,F,,,,,,
301,CON,F,,,,,,
302,COS,F,,,,,,
303,COT,F,,,,,,
304,COU,F,,,,,,
305,CPR,F,,,,,,
306,CPS,F,,,,,,
307,CRE,F,,,,,,
308,CRP,F,,,,,,
309,CRW,F,,,,,,
310,CSG,F,,,,,,
311,CTB,F,,,,,,
312,CTH,F,,,,,,
313,CTJ,F,,,,,,
314,CTY,F,,,,,,
315,CVG,F,,,,,,
316,CVN,F,,,,,,
317,CVS,F,,,,,,
318,CVX,F,,,,,,
319,CWA,F,,,,,,
320,CWI,F,,,,,,
321,CXF,F,,,,,,
322,CXL,F,,,,,,
323,CXO,F,,,,,,
324,CXY,F,,,,,,
325,CYF,F,,,,,,
326,CYM,F,,,,,,
327,CYS,F,,,,,,
328,CYT,F,,,,,,
329,CZF,F,,,,,,
330,CZN,F,,,,,,
331,DAB,F,,,,,,
332,DAL,F,,,,,,
333,DAY,F,,,,,,
334,DBQ,F,,,,,,
335,DCA,F,,,,,,
336,DDC,F,,,,,,
337,DEC,F,,,,,,
338,DEN,F,,,,,,
339,DET,F,,,,,,
340,DFW,F,,,,,,
341,DGL,F,,,,,,
342,DHN,F,,,,,,
343,DHT,F,,,,,,
344,DIK,F,,,,,,
345,DKB,F,,,,,,
346,DKK,F,,,,,,
347,DKX,F,,,,,,
348,DLF,F,,,,,,
349,DLG,F,,,,,,
350,DLH,F,,,,,,
351,DLL,F,,,,,,
352,DMA,F,,,,,,
353,DNL,F,,,,,,
354,DNN,F,,,,,,
355,DOV,F,,,,,,
356,DPA,F,,,,,,
357,DQH,F,,,,,,
358,DRG,F,,,,,,
359,DRI,F,,,,,,
360,DRM,F,,,,,,
361,DRO,F,,,,,,
362,DRT,F,,,,,,
363,DSM,F,,,,,,
364,DTA,F,,,,,,
365,DTS,F,,,,,,
366,DTW,F,,,,,,
367,DUC,F,,,,,,
368,DUG,F,,,,,,
369,DUJ,F,,,,,,
370,DUT,F,,,,,,
371,DVL,F,,,,,,
372,DVT,F,,,,,,
373,DWA,F,,,,,,
374,DWH,F,,,,,,
375,DWS,F,,,,,,
376,DXR,F,,,,,,
377,DYS,F,,,,,,
378,E25,F,,,,,,
379,E51,F,,,,,,
380,E55,F,,,,,,
381,E63,F,,,,,,
382,E91,F,,,,,,
383,EAA,F,,,,,,
384,EAR,F,,,,,,
385,EAT,F,,,,,,
386,EAU,F,,,,,,
387,ECA,F,,,,,,
388,ECG,F,,,,,,
389,ECP,F,,,,,,
390,EDF,F,,,,,,
391,EDW,F,,,,,,
392,EEK,F,,,,,,
393,EEN,F,,,,,,
394,EET,F,,,,,,
395,EFD,F,,,,,,
396,EGA,F,,,,,,
397,EGE,F,,,,,,
398,EGT,F,,,,,,
399,EGV,F,,,,,,
400,EGX,F,,,,,,
401,EHM,F,,,,,,
402,EIL,F,,,,,,
403,EKI,F,,,,,,
404,EKN,F,,,,,,
405,EKO,F,,,,,,
406,ELD,F,,,,,,
407,ELI,F,,,,,,
408,ELM,F,,,,,,
409,ELP,F,,,,,,
410,ELV,F,,,,,,
411,ELY,F,,,,,,
412,EMK,F,,,,,,
413,EMP,F,,,,,,
414,ENA,F,,,,,,
415,END,F,,,,,,
416,ENV,F,,,,,,
417,ENW,F,,,,,,
418,EOK,F,,,,,,
419,EPM,F,,,,,,
420,EQY,F,,,,,,
421,ERI,F,,,,,,
422,ERV,F,,,,,,
423,ERY,F,,,,,,
424,ESC,F,,,,,,
425,ESD,F,,,,,,
426,ESF,F,,,,,,
427,ESN,F,,,,,,
428,EUG,F,,,,,,
429,EVV,F,,,,,,
430,EWB,F,,,,,,
431,EWN,F,,,,,,
432,EWR,F,,,,,,
433,EXI,F,,,,,,
434,EYW,F,,,,,,
435,F57,F,,,,,,
436,FAF,F,,,,,,
437,FAI,F,,,,,,
438,FAR,F,,,,,,
439,FAT,F,,,,,,
440,FAY,F,,,,,,
441,FBG,F,,,,,,
442,FBK,F,,,,,,
443,FBS,F,,,,,,
444,FCA,F,,,,,,
445,FCS,F,,,,,,
446,FDY,F,,,,,,
447,FFA,F,,,,,,
448,FFC,F,,,,,,
449,FFO,F,,,,,,
450,FFT,F,,,,,,
451,FFZ,F,,,,,,
452,FHU,F,,,,,,
453,FIT,F,,,,,,
454,FKL,F,,,,,,
455,FLD,F,,,,,,
456,FLG,F,,,,,,
457,FLL,F,,,,,,
458,FLO,F,,,,,,
459,FLV,F,,,,,,
460,FME,F,,,,,,
461,FMH,F,,,,,,
462,FMN,F,,,,,,
463,FMY,F,,,,,,
464,FNL,F,,,,,,
465,FNR,F,,,,,,
466,FNT,F,,,,,,
467,FOD,F,,,,,,
468,FOE,F,,,,,,
469,FOK,F,,,,,,
470,FRD,F,,,,,,
471,FRI,F,,,,,,
472,FRN,F,,,,,,
473,FRP,F,,,,,,
474,FSD,F,,,,,,
475,FSI,F,,,,,,
476,FSM,F,,,,,,
477,FST,F,,,,,,
478,FTK,F,,,,,,
479,FTW,F,,,,,,
480,FTY,F,,,,,,
481,FUL,F,,,,,,
482,FWA,F,,,,,,
483,FXE,F,,,,,,
484,FYU,F,,,,,,
485,FYV,F,,,,,,
486,FZG,F,,,,,,
487,GAD,F,,,,,,
488,GAI,F,,,,,,
489,GAL,F,,,,,,
490,GAM,F,,,,,,
491,GBN,F,,,,,,
492,GCC,F,,,,,,
493,GCK,F,,,,,,
494,GCN,F,,,,,,
495,GCW,F,,,,,,
496,GDV,F,,,,,,
497,GDW,F,,,,,,
498,GED,F,,,,,,
499,GEG,F,,,,,,
500,GEU,F,,,,,,
501,GFK,F,,,,,,
502,GGE,F,,,,,,
503,GGG,F,,,,,,
504,GGW,F,,,,,,
505,GHG,F,,,,,,
506,GIF,F,,,,,,
507,GJT,F,,,,,,
508,GKN,F,,,,,,
509,GKY,F,,,,,,
510,GLD,F,,,,,,
511,GLH,F,,,,,,
512,GLS,F,,,,,,
513,GLV,F,,,,,,
514,GNT,F,,,,,,
515,GNU,F,,,,,,
516,GNV,F,,,,,,
517,GON,F,,,,,,
518,GPT,F,,,,,,
519,GPZ,F,,,,,,
520,GQQ,F,,,,,,
521,GRB,F,,,,,,
522,GRF,F,,,,,,
523,GRI,F,,,,,,
524,GRK,F,,,,,,
525,GRM,F,,,,,,
526,GRR,F,,,,,,
527,GSB,F,,,,,,
528,GSO,F,,,,,,
529,GSP,F,,,,,,
530,GST,F,,,,,,
531,GTB,F,,,,,,
532,GTF,F,,,,,,
533,GTR,F,,,,,,
534,GTU,F,,,,,,
535,GUC,F,,,,,,
536,GUP,F,,,,,,
537,GUS,F,,,,,,
538,GVL,F,,,,,,
539,GVQ,F,,,,,,
540,GVT,F,,,,,,
541,GWO,F,,,,,,
542,GYY,F,,,,,,
543,HBG,F,,,,,,
544,HBR,F,,,,,,
545,HCC,F,,,,,,
546,HCR,F,,,,,,
547,HDH,F,,,,,,
548,HDI,F,,,,,,
549,HDN,F,,,,,,
550,HDO,F,,,,,,
551,HFD,F,,,,,,
552,HGR,F,,,,,,
553,HHH,F,,,,,,
554,HHI,F,,,,,,
555,HHR,F,,,,,,
556,HIB,F,,,,,,
557,HIF,F,,,,,,
558,HII,F,,,,,,
559,HIO,F,,,,,,
560,HKB,F,,,,,,
561,HKY,F,,,,,,
562,HLG,F,,,,,,
563,HLN,F,,,,,,
564,HLR,F,,,,,,
565,HMN,F,,,,,,
566,HNH,F,,,,,,
567,HNL,F,,,,,,
568,HNM,F,,,,,,
569,HNS,F,,,,,,
570,HOB,F,,,,,,
571,HOM,F,,,,,,
572,HON,F,,,,,,
573,HOP,F,,,,,,
574,HOT,F,,,,,,
575,HOU,F,,,,,,
576,HPB,F,,,,,,
577,HPN,F,,,,,,
578,HQM,F,,,,,,
579,HQU,F,,,,,,
580,HRL,F,,,,,,
581,HRO,F,,,,,,
582,HRT,F,,,,,,
583,HSH,F,,,,,,
584,HSL,F,,,,,,
585,HST,F,,,,,,
586,HSV,F,,,,,,
587,HTL,F,,,,,,
588,HTS,F,,,,,,
589,HUA,F,,,,,,
590,HUF,F,,,,,,
591,HUL,F,,,,,,
592,HUS,F,,,,,,
593,HUT,F,,,,,,
594,HVN,F,,,,,,
595,HVR,F,,,,,,
596,HWD,F,,,,,,
597,HWO,F,,,,,,
598,HXD,F,,,,,,
599,HYA,F,,,,,,
600,HYG,F,,,,,,
601,HYL,F,,,,,,
602,HYS,F,,,,,,
603,HZL,F,,,,,,
604,IAB,F,,,,,,
605,IAD,F,,,,,,
606,IAG,F,,,,,,
607,IAH,F,,,,,,
608,IAN,F,,,,,,
609,ICT,F,,,,,,
610,ICY,F,,,,,,
611,IDA,F,,,,,,
612,IDL,F,,,,,,
613,IFP,F,,,,,,
614,IGG,F,,,,,,
615,IGM,F,,,,,,
616,IGQ,F,,,,,,
617,IJD,F,,,,,,
618,IKK,F,,,,,,
619,IKO,F,,,,,,
620,IKR,F,,,,,,
621,IKV,F,,,,,,
622,ILG,F,,,,,,
623,ILI,F,,,,,,
624,ILM,F,,,,,,
625,ILN,F,,,,,,
626,IMM,F,,,,,,
627,IMT,F,,,,,,
628,IND,F,,,,,,
629,INJ,F,,,,,,
630,INK,F,,,,,,
631,INL,F,,,,,,
632,INS,F,,,,,,
633,INT,F,,,,,,
634,INW,F,,,,,,
635,IOW,F,,,,,,
636,IPL,F,,,,I,,
637,IPT,F,,,,,,
638,IRC,F,,,,,,
639,IRK,F,,,,,,
640,ISM,F,,,,,,
641,ISN,F,,,,,,
642,ISO,F,,,,,,
643,ISP,F,,,,,,
644,ISW,F,,,,,,
645,ITH,F,,,,,,
646,ITO,F,,,,,,
647,IWD,F,,,,,,
648,IWS,F,,,,,,
649,IYK,F,,,,,,
650,JAC,F,,,,,,
651,JAN,F,,,,,,
652,JAX,F,,,,,,
653,JBR,F,,,,,,
654,JCI,F,,,,,,
655,JEF,F,,,,,,
656,JES,F,,,,,,
657,JFK,F,,,,,,
658,JGC,F,,,,,,
659,JHM,F,,,,,,
660,JHW,F,,,,,,
661,JKA,F,,,,,,
662,JLN,F,,,,,,
663,JMS,F,,,,,,
664,JNU,F,,,,,,
665,JOT,F,,,,,,
666,JRA,F,,,,,,
667,JRB,F,,,,,,
668,JST,F,,,,,,
669,JVL,F,,,,,,
670,JXN,F,,,,,,
671,JYL,F,,,,,,
672,JYO,F,,,,,,
673,JZP,F,,,,,,
674,K03,F,,,,,,
675,KAE,F,,,,,,
676,KAL,F,,,,,,
677,KBC,F,,,,,,
678,KBW,F,,,,,,
679,KCC,F,,,,,,
680,KCL,F,,,,,,
681,KCQ,F,,,,,,
682,KEH,F,,,,,,
683,KEK,F,,,,,,
684,KFP,F,,,,,,
685,KGK,F,,,,,,
686,KGX,F,,,,,,
687,KKA,F,,,,,,
688,KKB,F,,,,,,
689,KKH,F,,,,,,
690,KLG,F,,,,,,
691,KLL,F,,,,,,
692,KLN,F,,,,,,
693,KLS,F,,,,,,
694,KLW,F,,,,,,
695,KMO,F,,,,,,
696,KMY,F,,,,,,
697,KNW,F,,,,,,
698,KOA,F,,,,,,
699,KOT,F,,,,,,
700,KOY,F,,,,,,
701,KOZ,F,,,,,,
702,KPB,F,,,,,,
703,KPC,F,,,,,,
704,KPN,F,,,,,,
705,KPR,F,,,,,,
706,KPV,F,,,,,,
707,KPY,F,,,,,,
708,KQA,F,,,,,,
709,KSM,F,,,,,,
710,KTB,F,,,,,,
711,KTN,F,,,,,,
712,KTS,F,,,,,,
713,KUK,F,,,,,,
714,KVC,F,,,,,,
715,KVL,F,,,,,,
716,KWK,F,,,,,,
717,KWN,F,,,,,,
718,KWP,F,,,,,,
719,KWT,F,,,,,,
720,KYK,F,,,,,,
721,KYU,F,,,,,,
722,KZB,F,,,,,,
723,L06,F,,,,,,
724,L35,F,,,,,,
725,LAA,F,,,,,,
726,LAF,F,,,,,,
727,LAL,F,,,,,,
728,LAM,F,,,,,,
729,LAN,F,,,,,,
730,LAR,F,,,,,,
731,LAS,F,,,,,,
732,LAW,F,,,,,,
733,LAX,F,,,,,,
734,LBB,F,,,,,,
735,LBE,F,,,,,,
736,LBF,F,,,,,,
737,LBL,F,,,,,,
738,LBT,F,,,,,,
739,LCH,F,,,,,,
740,LCK,F,,,,,,
741,LCQ,F,,,,,,
742,LDJ,F,,,,,,
743,LEB,F,,,,,,
744,LEW,F,,,,,,
745,LEX,F,,,,,,
746,LFI,F,,,,,,
747,LFK,F,,,,,,
748,LFT,F,,,,,,
749,LGA,F,,,,,,
750,LGB,F,,,,,,
751,LGC,F,,,,,,
752,LGU,F,,,,,,
753,LHD,F,,,,,,
754,LHV,F,,,,,,
755,LHX,F,,,,,,
756,LIH,F,,,,,,
757,LIT,F,,,,,,
758,LIV,F,,,,,,
759,LKE,F,,,,,,
760,LKP,F,,,,,,
761,LMT,F,,,,,,
762,LNA,F,,,,,,
763,LNK,F,,,,,,
764,LNN,F,,,,,,
765,LNR,F,,,,,,
766,LNS,F,,,,,,
767,LNY,F,,,,,,
768,LOT,F,,,,,,
769,LOU,F,,,,,,
770,LOZ,F,,,,,,
771,LPC,F,,,,,,
772,LPR,F,,,,,,
773,LPS,F,,,,,,
774,LRD,F,,,,,,
775,LRF,F,,,,,,
776,LRU,F,,,,,,
777,LSE,F,,,,,,
778,LSF,F,,,,,,
779,LSV,F,,,,,,
780,LTS,F,,,,,,
781,LUF,F,,,,,,
782,LUK,F,,,,,,
783,LUP,F,,,,,,
784,LUR,F,,,,,,
785,LVK,F,,,,,,
786,LVM,F,,,,,,
787,LVS,F,,,,,,
788,LWA,F,,,,,,
789,LWB,F,,,,,,
790,LWC,F,,,,,,
791,LWM,F,,,,,,
792,LWS,F,,,,,,
793,LWT,F,,,,,,
794,LXY,F,,,,,,
795,LYH,F,,,,,,
796,LYU,F,,,,,,
797,LZU,F,,,,,,
798,MAE,F,,,,,,
799,MAF,F,,,,,,
800,MBL,F,,,,,,
801,MBS,F,,,,,,
802,MCC,F,,,,,,
803,MCD,F,,,,,,
804,MCE,F,,,,,,
805,MCF,F,,,,,,
806,MCG,F,,,,,,
807,MCI,F,,,,,,
808,MCK,F,,,,,,
809,MCL,F,,,,,,
810,MCN,F,,,,,,
811,MCO,F,,,,,,
812,MCW,F,,,,,,
813,MDT,F,,,,,,
814,MDW,F,,,,,,
815,ME5,F,,,,,,
816,MEI,F,,,,,,
817,MEM,F,,,,,,
818,MER,F,,,,,,
819,MFD,F,,,,,,
820,MFE,F,,,,,,
821,MFI,F,,,,,,
822,MFR,F,,,,,,
823,MGC,F,,,,,,
824,MGE,F,,,,,,
825,MGJ,F,,,,,,
826,MGM,F,,,,,,
827,MGR,F,,,,,,
828,MGW,F,,,,,,
829,MGY,F,,,,,,
830,MHK,F,,,,,,
831,MHM,F,,,,,,
832,MHR,F,,,,,,
833,MHT,F,,,,,,
834,MHV,F,,,,,,
835,MIA,F,,,,,,
836,MIB,F,,,,,,
837,MIE,F,,,,,,
838,MIV,F,,,,,,
839,MKC,F,,,,,,
840,MKE,F,,,,,,
841,MKG,F,,,,,,
842,MKK,F,,,,,,
843,MKL,F,,,,,,
844,MKO,F,,,,,,
845,MLB,F,,,,,,
846,MLC,F,,,,,,
847,MLD,F,,,,,,
848,MLI,F,,,,,,
849,MLJ,F,,,,,,
850,MLL,F,,,,,,
851,MLS,F,,,,,,
852,MLT,F,,,,,,
853,MLU,F,,,,,,
854,MLY,F,,,,,,
855,MMH,F,,,,,,
856,MMI,F,,,,,,
857,MMU,F,,,,,,
858,MMV,F,,,,,,
859,MNM,F,,,,,,
860,MNT,F,,,,,,
861,MOB,F,,,,,,
862,MOD,F,,,,,,
863,MOT,F,,,,,,
864,MOU,F,,,,,,
865,MPB,F,,,,,,
866,MPI,F,,,,,,
867,MPV,F,,,,,,
868,MQB,F,,,,,,
869,MQT,F,,,,,,
870,MRB,F,,,,,,
871,MRI,F,,,,,,
872,MRK,F,,,,,,
873,MRN,F,,,,,,
874,MRY,F,,,,,,
875,MSL,F,,,,,,
876,MSN,F,,,,,,
877,MSO,F,,,,,,
878,MSP,F,,,,,,
879,MSS,F,,,,,,
880,MSY,F,,,,,,
881,MTC,F,,,,,,
882,MTH,F,,,,,,
883,MTJ,F,,,,,,
884,MTM,F,,,,,,
885,MUE,F,,,,,,
886,MUI,F,,,,,,
887,MUO,F,,,,,,
888,MVL,F,,,,,,
889,MVY,F,,,,,,
890,MWA,F,,,,,,
891,MWC,F,,,,,,
892,MWH,F,,,,,,
893,MWL,F,,,,,,
894,MWM,F,,,,,,
895,MXF,F,,,,,,
896,MXY,F,,,,,,
897,MYF,F,,,,,,
898,MYL,F,,,,,,
899,MYR,F,,,,,,
900,MYU,F,,,,,,
901,MYV,F,,,,,,
902,MZJ,F,,,,,,
903,N53,F,,,,,,
904,N69,F,,,,,,
905,N87,F,,,,,,
906,NBG,F,,,,,,
907,NBU,F,,,,,,
908,NCN,F,,,,,,
909,NEL,F,,,,,,
910,NFL,F,,,,,,
911,NGF,F,,,,,,
912,NGP,F,,,,,,
913,NGU,F,,,,,,
914,NGZ,F,,,,,,
915,NHK,F,,,,,,
916,NIB,F,,,,,,
917,NID,F,,,,,,
918,NIP,F,,,,,,
919,NJK,F,,,,I,,
920,NKT,F,,,,,,
921,NKX,F,,,,,,
922,NLC,F,,,,,,
923,NLG,F,,,,,,
924,NME,F,,,,,,
925,NMM,F,,,,,,
926,NNL,F,,,,,,
927,NOW,F,,,,,,
928,NPA,F,,,,,,
929,NPZ,F,,,,,,
930,NQA,F,,,,,,
931,NQI,F,,,,,,
932,NQX,F,,,,,,
933,NSE,F,,,,,,
934,NTD,F,,,,,,
935,NTU,F,,,,,,
936,NUI,F,,,,,,
937,NUL,F,,,,,,
938,NUP,F,,,,,,
939,NUQ,F,,,,,,
940,NUW,F,,,,,,
941,NXP,F,,,,,,
942,NXX,F,,,,,,
943,NY9,F,,,,,,
944,NYC,F,,,,,,
945,NYG,F,,,,,,
946,NZC,F,,,,,,
947,NZJ,F,,,,,,
948,NZY,F,,,,,,
949,O03,F,,,,,,
950,O27,F,,,,,,
951,OAJ,F,,,,,,
952,OAK,F,,,,,,
953,OAR,F,,,,,,
954,OBE,F,,,,,,
955,OBU,F,,,,,,
956,OCA,F,,,,,,
957,OCF,F,,,,,,
958,OEB,F,,,,,,
959,OFF,F,,,,,,
960,OGG,F,,,,,,
961,OGS,F,,,,,,
962,OKC,F,,,,,,
963,OLF,F,,,,,,
964,OLH,F,,,,,,
965,OLM,F,,,,,,
966,OLS,F,,,,,,
967,OLV,F,,,,,,
968,OMA,F,,,,,,
969,OME,F,,,,,,
970,OMN,F,,,,,,
971,ONH,F,,,,,,
972,ONP,F,,,,,,
973,ONT,F,,,,,,
974,OOK,F,,,,,,
975,OPF,F,,,,,,
976,OQU,F,,,,,,
977,ORD,F,,,,,,
978,ORF,F,,,,,,
979,ORH,F,,,,,,
980,ORI,F,,,,,,
981,ORL,F,,,,,,
982,ORT,F,,,,,,
983,ORV,F,,,,,,
984,OSC,F,,,,,,
985,OSH,F,,,,,,
986,OSU,F,,,,,,
987,OTH,F,,,,,,
988,OTS,F,,,,,,
989,OTZ,F,,,,,,
990,OWB,F,,,,,,
991,OWD,F,,,,,,
992,OXC,F,,,,,,
993,OXD,F,,,,,,
994,OXR,F,,,,,,
995,OZA,F,,,,,,
996,P08,F,,,,,,
997,P52,F,,,,,,
